postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
324,US-IL-ORD,378,14,344,20,0,7
325,US-IL-ORD,1073,12,996,65,0,12
326,US-IL-ORD,818,13,755,50,0,10
327,US-IL-ORD,1907,12,1706,189,0,27
328,US-IL-ORD,1894,3,1646,245,0,46
329,US-IL-ORD,1235,2,1132,101,0,13
330,US-IL-ORD,2063,9,1845,209,0,38
331,US-IL-ORD,3495,5,3062,428,0,93
332,US-IL-ORD,4,0,3,1,0,0
333,US-IL-ORD,1460,2,1288,170,0,29
334,US-IL-ORD,1871,1,1652,217,1,25
335,US-IL-ORD,1533,10,1353,170,0,32
336,US-IL-ORD,1372,1,1250,121,0,31
337,US-IL-ORD,1278,2,1160,116,0,23
338,US-IL-ORD,866,18,801,47,0,11
339,US-IL-ORD,880,1,800,79,0,8
341,US-IL-ORD,413,7,390,16,0,3
342,US-IL-ORD,1234,2,1123,109,0,17
344,US-IL-ORD,457,10,418,29,0,9
346,US-IL-ORD,1053,6,949,98,0,15
347,US-IL-ORD,1438,8,1276,154,0,23
349,US-IL-ORD,490,1,435,54,0,13
350,US-IL-ORD,303,262,21,20,0,8
351,US-IL-ORD,258,208,39,11,0,5
352,US-IL-ORD,541,85,398,58,0,8
354,US-IL-ORD,140,1,131,8,0,1
355,US-IL-ORD,50,37,13,0,0,0
356,US-IL-ORD,355,272,48,35,0,4
357,US-IL-ORD,649,567,23,59,0,1
358,US-IL-ORD,619,536,32,51,0,3
359,US-IL-ORD,149,82,57,10,0,3
360,US-IL-ORD,190,155,22,13,0,3
361,US-IL-ORD,167,90,57,20,0,2
362,US-IL-ORD,67,36,24,7,0,1
363,US-IL-ORD,123,2,111,10,0,3
364,US-IL-ORD,24,2,21,1,0,1
365,US-IL-ORD,305,8,286,11,0,6
366,US-IL-ORD,178,0,168,10,0,1
367,US-IL-ORD,21,6,13,2,0,0
368,US-IL-ORD,235,198,16,21,0,2
369,US-IL-ORD,2,1,1,0,0,0
370,US-IL-ORD,1289,1093,90,106,0,13
371,US-IL-ORD,880,754,44,82,0,12
372,US-IL-ORD,880,753,38,89,0,11
373,US-IL-ORD,644,559,36,49,0,5
374,US-IL-ORD,406,340,24,42,0,11
376,US-IL-ORD,406,349,27,30,0,3
377,US-IL-ORD,286,267,13,6,0,4
378,US-IL-ORD,498,442,28,28,0,8
379,US-IL-ORD,857,752,34,71,0,12
