fulfillment_center,ship_from_coords,ship_to_coords,ship_to_state,orders,scale
US-IL-ORD,"-88.1348,41.9125","-111.093731,39.32098",UT,8317,0.0876
US-CA-ONT,"-117.5931,34.1064","-88.787868,43.78444",WI,1184,0.0125
US-CA-ONT,"-117.5931,34.1064","-77.194525,41.203322",PA,2538,0.0267
US-NJ-EWR,"-74.5102,40.3726","-98.484246,39.011902",KS,570,0.006
US-IL-ORD,"-88.1348,41.9125","-101.002012,47.551493",ND,1489,0.0157
US-CA-ONT,"-117.5931,34.1064","-74.405661,40.058324",NJ,3008,0.0317
US-NJ-EWR,"-74.5102,40.3726","-72.577841,44.558803",VT,1205,0.0127
US-CA-ONT,"-117.5931,34.1064","-111.093731,39.32098",UT,9372,0.0987
US-IL-ORD,"-88.1348,41.9125","-74.405661,40.058324",NJ,21254,0.2238
US-IL-ORD,"-88.1348,41.9125","-92.145024,31.244823",LA,5977,0.0629
US-NJ-EWR,"-74.5102,40.3726","-74.217933,43.299428",NY,22205,0.2338
US-CA-ONT,"-117.5931,34.1064","-82.907123,40.417287",OH,1745,0.0184
US-NJ-EWR,"-74.5102,40.3726","-74.405661,40.058324",NJ,14714,0.1549
US-IL-ORD,"-88.1348,41.9125","-74.217933,43.299428",NY,42292,0.4453
US-CA-ONT,"-117.5931,34.1064","-119.417932,36.778261",CA,94970,1
US-NJ-EWR,"-74.5102,40.3726","-73.087749,41.603221",CT,5198,0.0547
US-IL-ORD,"-88.1348,41.9125","-89.398528,40.633125",IL,42226,0.4446
US-NJ-EWR,"-74.5102,40.3726","-107.290284,43.075968",WY,38,0.0004
US-CA-ONT,"-117.5931,34.1064","-86.580447,35.517491",TN,836,0.0088
US-CA-ONT,"-117.5931,34.1064","-71.382437,42.407211",MA,2353,0.0248
US-IL-ORD,"-88.1348,41.9125","-69.445469,45.253783",ME,3142,0.0331
US-IL-ORD,"-88.1348,41.9125","-99.901813,31.968599",TX,75782,0.798
US-CA-ONT,"-117.5931,34.1064","-99.901813,31.968599",TX,7712,0.0812
US-CA-ONT,"-117.5931,34.1064","-101.002012,47.551493",ND,92,0.001
US-IL-ORD,"-88.1348,41.9125","-105.032363,34.97273",NM,3945,0.0415
US-CA-ONT,"-117.5931,34.1064","-105.782067,39.550051",CO,4255,0.0448
US-CA-ONT,"-117.5931,34.1064","-97.092877,35.007752",OK,478,0.005
US-CA-ONT,"-117.5931,34.1064","-99.901813,43.969515",SD,232,0.0024
US-IL-ORD,"-88.1348,41.9125","-71.477429,41.580095",RI,2046,0.0215
US-NJ-EWR,"-74.5102,40.3726","-110.362566,46.879682",MT,77,0.0008
US-CA-ONT,"-117.5931,34.1064","-92.145024,31.244823",LA,327,0.0034
US-IL-ORD,"-88.1348,41.9125","-154.493062,63.588753",AK,1708,0.018
US-NJ-EWR,"-74.5102,40.3726","-88.787868,43.78444",WI,1319,0.0139
US-IL-ORD,"-88.1348,41.9125","-91.831833,37.964253",MO,16519,0.1739
US-IL-ORD,"-88.1348,41.9125","-77.194525,41.203322",PA,27331,0.2878
US-NJ-EWR,"-74.5102,40.3726","-120.740139,47.751074",WA,1000,0.0105
US-NJ-EWR,"-74.5102,40.3726","-154.493062,63.588753",AK,51,0.0005
US-NJ-EWR,"-74.5102,40.3726","-86.580447,35.517491",TN,1378,0.0145
US-NJ-EWR,"-74.5102,40.3726","-97.092877,35.007752",OK,484,0.0051
US-IL-ORD,"-88.1348,41.9125","-110.362566,46.879682",MT,2468,0.026
US-CA-ONT,"-117.5931,34.1064","-75.52767,38.910832",DE,237,0.0025
US-NJ-EWR,"-74.5102,40.3726","-71.572395,43.193852",NH,2897,0.0305
US-NJ-EWR,"-74.5102,40.3726","-84.270018,37.839333",KY,612,0.0064
US-IL-ORD,"-88.1348,41.9125","-114.742041,44.068202",ID,3130,0.033
US-IL-ORD,"-88.1348,41.9125","-93.097702,41.878003",IA,8832,0.093
US-CA-ONT,"-117.5931,34.1064","-105.032363,34.97273",NM,1988,0.0209
US-IL-ORD,"-88.1348,41.9125","-71.572395,43.193852",NH,4643,0.0489
US-CA-ONT,"-117.5931,34.1064","-89.398528,32.354668",MS,150,0.0016
US-NJ-EWR,"-74.5102,40.3726","-71.477429,41.580095",RI,1442,0.0152
US-NJ-EWR,"-74.5102,40.3726","-99.901813,41.492537",NE,400,0.0042
US-NJ-EWR,"-74.5102,40.3726","-93.097702,41.878003",IA,542,0.0057
US-CA-ONT,"-117.5931,34.1064","-74.217933,43.299428",NY,4580,0.0482
US-NJ-EWR,"-74.5102,40.3726","-85.602364,40.551217",IN,1079,0.0114
US-IL-ORD,"-88.1348,41.9125","-84.270018,37.839333",KY,7934,0.0835
US-NJ-EWR,"-74.5102,40.3726","-86.902298,32.318231",AL,637,0.0067
US-CA-ONT,"-117.5931,34.1064","-99.901813,41.492537",NE,353,0.0037
US-CA-ONT,"-117.5931,34.1064","-120.554201,43.804133",OR,12967,0.1365
US-IL-ORD,"-88.1348,41.9125","-85.602364,44.314844",MI,28969,0.305
US-CA-ONT,"-117.5931,34.1064","-94.6859,46.729553",MN,1310,0.0138
US-IL-ORD,"-88.1348,41.9125","-119.417932,36.778261",CA,86628,0.9122
US-NJ-EWR,"-74.5102,40.3726","-71.382437,42.407211",MA,12721,0.1339
US-IL-ORD,"-88.1348,41.9125","-120.554201,43.804133",OR,12489,0.1315
US-NJ-EWR,"-74.5102,40.3726","-79.0193,35.759573",NC,4376,0.0461
US-IL-ORD,"-88.1348,41.9125","-73.087749,41.603221",CT,7615,0.0802
US-CA-ONT,"-117.5931,34.1064","-114.742041,44.068202",ID,3460,0.0364
US-CA-ONT,"-117.5931,34.1064","-98.484246,39.011902",KS,516,0.0054
US-CA-ONT,"-117.5931,34.1064","-84.270018,37.839333",KY,470,0.0049
US-CA-ONT,"-117.5931,34.1064","-71.572395,43.193852",NH,544,0.0057
US-CA-ONT,"-117.5931,34.1064","-76.641271,39.045755",MD,1465,0.0154
US-CA-ONT,"-117.5931,34.1064","-69.445469,45.253783",ME,436,0.0046
US-NJ-EWR,"-74.5102,40.3726","-82.907123,40.417287",OH,2671,0.0281
US-IL-ORD,"-88.1348,41.9125","-82.907123,40.417287",OH,30657,0.3228
US-NJ-EWR,"-74.5102,40.3726","-101.002012,47.551493",ND,94,0.001
US-IL-ORD,"-88.1348,41.9125","-89.398528,32.354668",MS,2682,0.0282
US-CA-ONT,"-117.5931,34.1064","-91.831833,35.20105",AR,336,0.0035
US-NJ-EWR,"-74.5102,40.3726","-99.901813,31.968599",TX,4947,0.0521
US-IL-ORD,"-88.1348,41.9125","-107.290284,43.075968",WY,1246,0.0131
US-CA-ONT,"-117.5931,34.1064","-80.454903,38.597626",WV,149,0.0016
US-NJ-EWR,"-74.5102,40.3726","-111.093731,39.32098",UT,863,0.0091
US-NJ-EWR,"-74.5102,40.3726","-94.6859,46.729553",MN,1508,0.0159
US-NJ-EWR,"-74.5102,40.3726","-69.445469,45.253783",ME,2098,0.0221
US-IL-ORD,"-88.1348,41.9125","-81.163725,33.836081",SC,9675,0.1019
US-NJ-EWR,"-74.5102,40.3726","-105.032363,34.97273",NM,236,0.0025
US-NJ-EWR,"-74.5102,40.3726","-91.831833,35.20105",AR,332,0.0035
US-IL-ORD,"-88.1348,41.9125","-98.484246,39.011902",KS,8429,0.0888
US-CA-ONT,"-117.5931,34.1064","-81.163725,33.836081",SC,702,0.0074
US-CA-ONT,"-117.5931,34.1064","-79.0193,35.759573",NC,1855,0.0195
US-IL-ORD,"-88.1348,41.9125","-75.52767,38.910832",DE,2913,0.0307
US-IL-ORD,"-88.1348,41.9125","-86.580447,35.517491",TN,15002,0.158
